age,annual_income,intent,bhk_preference,bhk_enquired,stated_budget,rate_psf,carpet_sqft,property_ticket,downpayment_pct,loan_amount,emi_monthly,emi_to_income,affordability_ratio,budget_match,bhk_match,_true_p,converted,city_Bengaluru,city_Chennai,city_Delhi-NCR,city_Hyderabad,city_Kolkata,city_Mumbai-MMR,city_Pune
50,1231470,1,1,1,4696922,7150,567,4054088,0.247,3052067,26680,0.26,3.29,0,1,0.00586,0,1,0,0,0,0,0,0
40,3397189,0,3,3,7417772,11200,1243,13922038,0.158,11716834,102424,0.362,4.1,0,1,0.00359,0,0,0,0,0,0,1,0
58,2257344,1,3,3,12998596,5820,1514,8809701,0.26,6516722,56967,0.303,3.9,0,1,0.07773,0,0,0,1,0,0,0,0
42,408723,0,1,1,11342112,13700,569,7798116,0.162,6534352,57121,1.677,19.08,0,1,2e-05,0,0,0,0,0,0,1,0
38,268765,0,3,4,11564505,7750,1944,15067237,0.265,11069347,96764,4.32,56.06,0,0,0.0,0,0,0,0,0,0,1,0
32,554092,1,2,3,14164863,11200,1216,13618535,0.27,9935712,86854,1.881,24.58,1,0,3e-05,0,0,0,0,0,0,1,0
28,1435761,1,2,2,8988131,6700,1090,7303129,0.239,5557937,48585,0.406,5.09,1,1,0.01046,0,0,0,0,1,0,0,0
68,1489158,0,3,4,3756121,6900,2779,19175295,0.218,14991603,131051,1.056,12.88,0,0,0.00029,0,0,0,1,0,0,0,0
38,171242,1,4,4,5762757,5820,2029,11806860,0.211,9315872,81436,5.707,68.95,0,1,0.0,0,0,0,1,0,0,0,0
58,1250719,0,2,2,13064997,5820,727,4231591,0.288,3012104,26331,0.253,3.38,0,1,0.00517,0,0,0,1,0,0,0,0
45,685799,1,2,2,5046911,8800,1061,9334430,0.19,7556286,66054,1.156,13.61,0,1,9e-05,0,1,0,0,0,0,0,0
52,2454035,1,1,1,14461017,7730,513,3962556,0.187,3222337,28168,0.138,1.61,0,1,0.0275,0,0,0,0,0,0,0,1
59,2492487,1,3,3,5006055,11200,1536,17208108,0.252,12876236,112559,0.542,6.9,0,1,0.00075,0,0,0,0,0,0,1,0
61,1332287,0,2,2,6851247,8000,715,5718159,0.291,4056982,35465,0.319,4.29,1,1,0.00436,0,0,0,0,0,0,1,0
29,1442818,1,2,2,4255112,6900,1023,7058935,0.292,4994878,43663,0.363,4.89,0,1,0.0186,0,0,0,1,0,0,0,0
43,1128764,1,3,4,21681685,7150,2313,16535224,0.155,13977479,122186,1.299,14.65,1,0,0.00137,0,1,0,0,0,0,0,0
54,789842,0,2,2,12771497,7000,673,4710922,0.208,3732683,32630,0.496,5.96,0,1,0.00499,0,0,0,0,0,0,0,1
60,1432887,0,3,3,4086958,5820,1276,7423572,0.255,5532359,48362,0.405,5.18,0,1,0.00183,0,0,0,1,0,0,0,0
62,656547,1,2,2,15667347,7730,796,6156095,0.171,5100901,44590,0.815,9.38,0,1,0.00173,0,0,0,0,0,0,0,1
46,1607571,0,1,2,5905233,7000,1035,7245599,0.249,5443219,47583,0.355,4.51,1,0,0.00608,0,0,0,0,0,0,0,1
48,7285071,0,3,3,12373395,7700,1010,7777733,0.209,6149410,53756,0.089,1.07,0,1,0.05321,0,0,0,0,0,0,0,1
31,3044193,0,1,1,37482731,16650,616,10259518,0.165,8562338,74849,0.295,3.37,0,1,0.35595,1,1,0,0,0,0,0,0
28,9396843,1,1,2,4447162,44000,973,42803616,0.192,34567324,302175,0.386,4.56,0,0,0.00117,0,0,0,0,0,0,1,0
28,1253737,0,3,3,8983312,7150,1026,7333564,0.296,5159536,45103,0.432,5.85,1,1,0.01442,0,1,0,0,0,0,0,0
35,1651186,0,3,3,39367544,7750,1282,9936563,0.157,8380637,73260,0.532,6.02,0,1,0.00696,0,0,0,0,0,0,1,0
32,2418003,0,2,3,18088415,8000,1263,10101341,0.247,7605804,66487,0.33,4.18,0,0,0.01052,0,1,0,0,0,0,0,0
37,1220581,0,2,2,11299540,6320,1079,6821489,0.208,5401390,47217,0.464,5.59,0,1,0.00079,0,0,0,0,1,0,0,0
60,488296,0,2,2,12461338,7750,705,5459974,0.214,4291434,37514,0.922,11.18,0,1,0.0011,0,0,0,0,0,0,1,0
30,1881136,1,3,3,9664272,7750,1007,7801590,0.218,6103028,53350,0.34,4.15,0,1,0.00828,0,0,0,0,0,0,1,0
48,6144883,0,2,2,7025709,24950,796,19864478,0.263,14644891,128020,0.25,3.23,0,1,0.00399,0,0,0,0,0,0,1,0
67,2664982,0,2,2,20417398,11200,712,7970710,0.23,6138820,53663,0.242,2.99,0,1,0.1379,0,0,0,0,0,0,1,0
41,1325664,1,3,3,10604407,11000,1172,12890228,0.16,10831788,94687,0.857,9.72,1,1,0.00095,0,0,0,1,0,0,0,0
27,1298396,0,2,2,51371710,7700,952,7326835,0.273,5329585,46589,0.431,5.64,0,1,0.02675,0,0,0,0,0,0,0,1
40,594433,1,2,3,32337323,11000,1335,14685373,0.233,11269004,98509,1.989,24.7,0,0,0.00022,0,0,0,1,0,0,0,0
50,2455610,1,3,3,13526564,11000,1541,16954731,0.297,11926386,104256,0.509,6.9,0,1,0.00088,0,0,0,1,0,0,0,0
38,97567,1,3,3,4584376,8000,1115,8917970,0.241,6767596,59160,7.276,91.4,1,1,0.0,0,1,0,0,0,0,0,0
62,1846063,0,2,2,14590003,6700,981,6574488,0.27,4799437,41955,0.273,3.56,0,1,0.00525,0,0,0,0,1,0,0,0
32,2701877,0,2,2,11696540,11200,1086,12166206,0.227,9409176,82252,0.365,4.5,1,1,0.00683,0,0,0,0,0,0,1,0
43,2359310,0,2,2,5580132,8000,1007,8052700,0.234,6171523,53949,0.274,3.41,1,1,0.1167,0,0,0,0,0,0,1,0
44,1774254,1,2,2,17713379,11200,992,11108638,0.269,8115852,70946,0.48,6.26,0,1,0.00203,0,0,0,0,0,0,1,0
41,267084,0,2,2,24754053,4950,1031,5104264,0.249,3831933,33497,1.505,19.11,0,1,0.00018,0,0,0,1,0,0,0,0
49,361132,1,3,3,7696540,7150,1423,10176706,0.176,8389161,73335,2.437,28.18,0,1,1e-05,0,1,0,0,0,0,0,0
43,1683155,0,1,1,12800209,8000,529,4234088,0.155,3576859,31268,0.223,2.52,0,1,0.00688,0,0,0,0,0,0,1,0
40,4009249,0,4,4,21358966,7000,2475,17327161,0.257,12869177,112498,0.337,4.32,1,1,0.00516,0,0,0,0,0,0,0,1
37,1362561,0,3,2,10582937,8000,1063,8503830,0.29,6039633,52796,0.465,6.24,0,0,0.00383,0,0,0,0,0,0,1,0
50,1886353,0,3,3,11383921,6900,1197,8258652,0.255,6156157,53815,0.342,4.38,0,1,0.00359,0,0,0,1,0,0,0,0
52,1273598,1,2,2,80000000,8000,1091,8731969,0.254,6511824,56924,0.536,6.86,0,1,0.00055,0,1,0,0,0,0,0,0
40,1464392,0,3,4,13784395,8780,2684,23567007,0.181,19309411,168796,1.383,16.09,0,0,0.00111,0,1,0,0,0,0,0,0
32,337855,0,4,3,12571718,7150,1334,9541589,0.288,6793838,59389,2.109,28.24,1,0,0.00024,0,1,0,0,0,0,0,0
55,1604584,0,3,3,4915447,7730,1080,8349100,0.161,7007711,61259,0.458,5.2,1,1,0.01762,0,0,0,0,0,0,0,1
47,268537,0,2,2,2774702,8780,679,5963949,0.197,4789144,41865,1.871,22.21,0,1,2e-05,0,1,0,0,0,0,0,0
53,1656486,0,3,3,10316503,8000,1127,9018229,0.208,7140002,62415,0.452,5.44,1,1,0.00341,0,0,0,0,0,0,1,0
29,1495778,1,1,1,5420662,13700,533,7303598,0.16,6137612,53653,0.43,4.88,1,1,0.01152,0,0,0,0,0,0,1,0
34,655961,0,3,2,12908870,4850,765,3708567,0.244,2804731,24518,0.449,5.65,0,0,0.01022,0,0,0,0,0,1,0,0
51,1630352,1,3,4,6606670,6565,2652,17407981,0.248,13093273,114457,0.842,10.68,0,0,0.00112,0,0,1,0,0,0,0,0
38,1754999,1,3,3,3499286,11000,1371,15082209,0.153,12781593,111732,0.764,8.59,0,1,0.00068,0,0,0,1,0,0,0,0
39,13589,0,3,3,9205470,7750,1367,10593307,0.29,7520447,65741,58.055,779.57,1,1,0.0,0,0,0,0,0,0,1,0
59,1750964,1,2,2,10219764,5030,1023,5143513,0.236,3928790,34344,0.235,2.94,0,1,0.03477,0,0,0,0,0,1,0,0
39,1329730,1,2,2,11431649,11000,1091,11999766,0.181,9833453,85960,0.776,9.02,1,1,0.0049,0,0,0,1,0,0,0,0
39,1628097,0,3,3,11926727,4950,1480,7326922,0.214,5762567,50374,0.371,4.5,0,1,0.0096,0,0,0,1,0,0,0,0
38,3302118,1,2,2,5769867,8800,865,7609168,0.246,5740808,50184,0.182,2.3,1,1,0.07399,0,1,0,0,0,0,0,0
53,639169,0,3,3,12096397,11200,1455,16294638,0.221,12698981,111010,2.084,25.49,0,1,9e-05,0,0,0,0,0,0,1,0
45,1739871,0,3,3,27249041,11200,1105,12381530,0.258,9186871,80308,0.554,7.12,0,1,0.0005,0,0,0,0,0,0,1,0
35,1316645,0,2,2,11069249,6565,889,5838236,0.253,4358457,38100,0.347,4.43,0,1,0.01969,0,0,1,0,0,0,0,0
65,1946841,0,2,2,13014965,7150,695,4972290,0.288,3541514,30959,0.191,2.55,0,1,0.0017,0,1,0,0,0,0,0,0
34,452133,1,1,1,13039788,7750,618,4791383,0.215,3762133,32887,0.873,10.6,0,1,0.00131,0,0,0,0,0,0,1,0
52,3410193,1,3,4,6855833,8000,2427,19416854,0.275,14073240,123023,0.433,5.69,0,0,0.00581,0,1,0,0,0,0,0,0
41,830384,0,2,2,2325643,8970,841,7547929,0.162,6323355,55276,0.799,9.09,0,1,0.00251,0,0,0,0,0,0,0,1
56,1156221,1,1,1,6211009,7750,457,3538285,0.176,2914195,25475,0.264,3.06,0,1,0.00219,0,0,0,0,0,0,1,0
52,2351775,1,3,3,11883642,6700,1506,10088365,0.209,7975015,69715,0.356,4.29,1,1,0.01038,0,0,0,0,1,0,0,0
54,2293115,1,2,2,3892337,11000,961,10575306,0.284,7573764,66207,0.346,4.61,0,1,0.00417,0,0,0,1,0,0,0,0
32,3333316,1,3,3,50207804,6900,1518,10475599,0.193,8450996,73875,0.266,3.14,0,1,0.00551,0,0,0,1,0,0,0,0
58,5349405,0,3,4,3510684,8780,2263,19870975,0.166,16574602,144889,0.325,3.71,0,0,0.03078,0,1,0,0,0,0,0,0
52,1215460,0,3,3,13219398,7000,1109,7765965,0.203,6193154,54138,0.534,6.39,0,1,0.00112,0,0,0,0,0,0,0,1
62,6241171,1,3,3,14259838,8970,1029,9228723,0.191,7463768,65245,0.125,1.48,1,1,0.00534,0,0,0,0,0,0,0,1
39,2903676,0,2,2,2674062,11000,742,8161733,0.265,6002402,52471,0.217,2.81,0,1,0.00687,0,0,0,1,0,0,0,0
33,2290828,0,3,3,14318917,8000,1494,11951616,0.156,10089681,88200,0.462,5.22,1,1,0.0055,0,0,0,0,0,0,1,0
28,405892,1,2,2,12219871,8000,733,5866712,0.212,4620823,40394,1.194,14.45,0,1,0.00015,0,1,0,0,0,0,0,0
46,2281614,0,1,1,5398269,13700,479,6567735,0.16,5515823,48217,0.254,2.88,1,1,0.01916,0,0,0,0,0,0,1,0
36,2725602,0,2,2,25361643,7700,878,6760093,0.173,5588993,48857,0.215,2.48,0,1,0.0028,0,0,0,0,0,0,0,1
38,2205047,0,3,3,6000684,8000,1014,8114775,0.264,5969330,52182,0.284,3.68,1,1,0.00259,0,1,0,0,0,0,0,0
46,1114759,0,2,2,13885183,8000,837,6696152,0.196,5381297,47041,0.506,6.01,0,1,0.00135,0,0,0,0,0,0,1,0
60,1631585,0,2,2,2854035,13700,959,13137920,0.168,10934695,95587,0.703,8.05,0,1,0.00169,0,0,0,0,0,0,1,0
37,2261042,0,2,2,14072453,8970,936,8391838,0.173,6941921,60684,0.322,3.71,0,1,0.00065,0,0,0,0,0,0,0,1
43,459251,1,1,1,9608325,13700,409,5596516,0.297,3936635,34413,0.899,12.19,0,1,0.00058,0,0,0,0,0,0,1,0
36,2107259,1,3,3,7564401,7650,1182,9044137,0.191,7316836,63961,0.364,4.29,0,1,0.01056,0,0,1,0,0,0,0,0
35,643548,1,3,3,49394756,7730,1177,9101229,0.264,6697005,58543,1.092,14.14,0,1,0.00042,0,0,0,0,0,0,0,1
48,1955279,1,2,1,6675081,16650,595,9906995,0.296,6977776,60997,0.374,5.07,0,0,0.00943,0,1,0,0,0,0,0,0
35,1854552,0,2,2,5725562,7000,826,5778656,0.18,4736814,41407,0.268,3.12,1,1,0.02907,0,0,0,0,0,0,0,1
44,2159550,0,2,2,10422882,8000,686,5490611,0.192,4434824,38768,0.215,2.54,0,1,0.01326,0,0,0,0,0,0,1,0
36,3639016,1,4,4,12215105,6565,1723,11308217,0.2,9046082,79077,0.261,3.11,1,1,0.01347,0,0,1,0,0,0,0,0
70,1937637,0,3,4,14403931,7000,1846,12923245,0.267,9472650,82806,0.513,6.67,1,0,0.00034,0,0,0,0,0,0,0,1
50,1726244,0,3,3,10807824,4950,1141,5649205,0.242,4283125,37441,0.26,3.27,0,1,0.06103,0,0,0,1,0,0,0,0
48,1431607,0,1,1,80000000,13700,522,7153705,0.296,5035565,44019,0.369,5.0,0,1,0.0068,0,0,0,0,0,0,1,0
36,2214207,1,2,3,36498370,8970,1105,9915110,0.172,8206469,71738,0.389,4.48,0,0,0.00907,0,0,0,0,0,0,0,1
39,2623548,0,3,4,18987674,7000,1710,11968954,0.238,9120597,79729,0.365,4.56,0,0,0.00036,0,0,0,0,0,0,0,1
38,3468097,0,1,1,5292404,20350,486,9895101,0.271,7211122,63037,0.218,2.85,0,1,0.00097,0,0,1,0,0,0,0,0
49,230921,0,2,2,26584677,7730,807,6237765,0.297,4385665,38338,1.992,27.01,0,1,9e-05,0,0,0,0,0,0,0,1
64,983832,0,3,3,37517009,7150,1508,10780276,0.232,8277145,72356,0.883,10.96,0,1,0.00026,0,1,0,0,0,0,0,0
35,2401382,0,3,3,12254449,13700,1339,18341067,0.227,14181348,123968,0.619,7.64,0,1,0.00015,0,0,0,0,0,0,1,0
37,1701710,0,2,2,9897615,8800,949,8354070,0.167,6960603,60847,0.429,4.91,0,1,0.00238,0,1,0,0,0,0,0,0
49,2355967,0,2,1,3756961,19800,550,10892925,0.206,8650999,75624,0.385,4.62,0,0,0.00074,0,0,0,0,0,0,0,1
48,2252735,1,1,1,5075123,16650,478,7955094,0.196,6397098,55921,0.298,3.53,1,1,0.02491,0,1,0,0,0,0,0,0
42,2139180,0,3,3,12682946,8000,1543,12346603,0.241,9368489,81896,0.459,5.77,1,1,0.01429,0,0,0,0,0,0,1,0
60,617198,1,3,3,2807739,6320,1314,8305385,0.188,6746820,58978,1.147,13.46,0,1,0.00693,0,0,0,0,1,0,0,0
29,1684804,1,3,2,5630319,6565,1033,6781870,0.229,5230958,45727,0.326,4.03,1,0,0.00797,0,0,1,0,0,0,0,0
46,2456526,1,3,4,39347547,7750,2206,17097038,0.3,11972479,104659,0.511,6.96,0,0,0.00072,0,0,0,0,0,0,1,0
62,1361317,0,3,2,2609761,7700,1084,8343873,0.231,6420408,56125,0.495,6.13,0,0,0.00081,0,0,0,0,0,0,0,1
64,1272798,0,3,3,32847757,8000,1567,12533174,0.281,9010810,78769,0.743,9.85,0,1,0.00236,0,0,0,0,0,0,1,0
57,4319371,1,3,3,14970442,5820,1186,6903923,0.284,4940946,43192,0.12,1.6,0,1,0.00072,0,0,0,1,0,0,0,0
55,1268955,0,2,2,14174800,7750,1067,8266620,0.291,5864583,51266,0.485,6.51,0,1,0.00085,0,0,0,0,0,0,1,0
50,2689325,0,3,3,3028511,11000,1049,11539988,0.258,8561235,74839,0.334,4.29,0,1,0.02239,0,0,0,1,0,0,0,0
43,127994,1,2,2,13288981,9600,707,6783653,0.195,5458688,47718,4.474,53.0,0,1,0.0,0,0,0,1,0,0,0,0
48,4198727,0,3,3,3535471,4950,1280,6336250,0.295,4467070,39049,0.112,1.51,0,1,0.00478,0,0,0,1,0,0,0,0
46,4723191,1,3,3,23513876,13700,1191,16312745,0.153,13815706,120772,0.307,3.45,1,1,0.01779,0,0,0,0,0,0,1,0
50,1938644,0,3,2,5516330,7650,973,7443193,0.245,5616278,49095,0.304,3.84,1,0,0.01308,0,0,1,0,0,0,0,0
62,1440239,1,3,3,3345743,7750,1347,10439809,0.196,8396364,73398,0.612,7.25,0,1,0.00212,0,0,0,0,0,0,1,0
51,1704353,1,3,3,7527874,7750,1512,11716910,0.164,9790435,85584,0.603,6.87,0,1,0.00069,0,0,0,0,0,0,1,0
45,2384593,1,2,2,7658532,7000,655,4584365,0.232,3522913,30796,0.155,1.92,1,1,0.00241,0,0,0,0,0,0,0,1
36,1239824,0,3,4,7526954,8780,1680,14754252,0.177,12144461,106162,1.028,11.9,0,0,0.0004,0,1,0,0,0,0,0,0
51,831570,1,3,3,7562015,6700,1580,10588102,0.171,8780780,76758,1.108,12.73,0,1,8e-05,0,0,0,0,1,0,0,0
39,2862602,0,2,3,3561117,10280,1549,15921478,0.19,12901000,112776,0.473,5.56,0,0,0.00056,0,0,0,0,1,0,0,0
39,1436900,0,2,2,14946079,8780,859,7544112,0.293,5334359,46631,0.389,5.25,0,1,0.00737,0,1,0,0,0,0,0,0
34,1193996,0,2,2,14483665,7650,745,5697389,0.156,4806317,42015,0.422,4.77,0,1,0.02366,0,0,1,0,0,0,0,0
55,1134428,0,3,3,16199294,8000,1115,8922503,0.179,7324569,64029,0.677,7.87,0,1,0.00136,0,0,0,0,0,0,1,0
52,2316880,1,2,2,20163158,8970,774,6944023,0.2,5558422,48590,0.252,3.0,0,1,0.00124,0,0,0,0,0,0,0,1
54,1765393,0,2,2,5876373,8000,690,5519897,0.291,3913438,34210,0.233,3.13,1,1,0.00814,0,0,0,0,0,0,1,0
65,2709847,0,2,2,14251970,20350,739,15033014,0.159,12636404,110463,0.489,5.55,0,1,0.02316,0,0,1,0,0,0,0,0
64,1929596,1,3,3,6597701,8000,1057,8452918,0.277,6111849,53428,0.332,4.38,1,1,0.00541,0,0,0,0,0,0,1,0
59,680303,1,2,2,8900129,8000,1001,8007482,0.245,6047858,52868,0.933,11.77,1,1,0.0024,0,0,0,0,0,0,1,0
39,2143306,0,3,3,12216949,7150,1025,7325356,0.277,5298508,46318,0.259,3.42,0,1,0.05565,0,1,0,0,0,0,0,0
42,2359281,0,1,1,14866445,16700,615,10265814,0.271,7481980,65405,0.333,4.35,1,1,0.00508,0,0,0,0,0,1,0,0
37,9600000,0,3,3,7009649,8740,1500,13107953,0.242,9935140,86849,0.109,1.37,0,1,0.11542,0,0,0,0,1,0,0,0
54,1995637,0,1,1,5255978,11000,492,5412016,0.204,4306930,37650,0.226,2.71,1,1,0.11042,0,0,0,1,0,0,0,0
42,5804799,1,2,2,4973085,6550,958,6272530,0.282,4500804,39344,0.081,1.08,1,1,0.02154,0,0,0,0,1,0,0,0
48,234025,0,3,3,5639945,6800,1023,6955204,0.209,5500219,48081,2.465,29.72,1,1,1e-05,0,0,1,0,0,0,0,0
55,1326136,0,2,1,12425070,19800,609,12066849,0.167,10056862,87913,0.796,9.1,1,0,0.00579,0,0,0,0,0,0,0,1
32,2213503,0,3,3,19322308,7150,1594,11395474,0.283,8171149,71429,0.387,5.15,0,1,0.00297,0,1,0,0,0,0,0,0
35,21968,0,1,1,2870053,4950,404,2002136,0.234,1534229,13412,7.326,91.14,1,1,0.0,0,0,0,1,0,0,0,0
45,1478590,0,3,2,3060511,4950,955,4726733,0.226,3658100,31978,0.26,3.2,0,0,0.01363,0,0,0,1,0,0,0,0
30,1668950,0,2,2,8870199,8780,1075,9436835,0.291,6690305,58484,0.421,5.65,0,1,0.00659,0,1,0,0,0,0,0,0
31,9133286,0,3,3,23312431,28000,1028,28785114,0.296,20260602,177111,0.233,3.15,0,1,0.05077,0,0,0,0,0,0,1,0
55,9600000,0,2,3,11892426,11000,1289,14179030,0.235,10849883,94846,0.119,1.48,1,0,0.4664,0,0,0,1,0,0,0,0
36,1221126,0,2,2,9384167,24950,997,24880540,0.216,19517285,170613,1.677,20.38,0,1,2e-05,0,0,0,0,0,0,1,0
43,1211905,0,2,3,19091580,6800,1248,8488127,0.239,6455760,56434,0.559,7.0,0,0,0.00244,0,0,1,0,0,0,0,0
34,2419859,0,1,1,2387540,28000,455,12748611,0.184,10408677,90989,0.451,5.27,0,1,0.01382,0,0,0,0,0,0,1,0
46,9224891,0,3,3,29595878,24950,1339,33409804,0.187,27147726,237315,0.309,3.62,1,1,0.00668,0,0,0,0,0,0,1,0
64,1942422,0,4,4,8850813,6700,2028,13587603,0.234,10412645,91023,0.562,7.0,0,1,0.00041,0,0,0,0,1,0,0,0
50,2311069,1,1,1,10855255,24950,581,14507915,0.218,11349340,99212,0.515,6.28,1,1,0.00432,0,0,0,0,0,0,1,0
32,153415,1,3,2,2096050,8000,795,6357831,0.281,4568159,39933,3.124,41.44,0,0,1e-05,0,0,0,0,0,0,1,0
62,576741,0,3,3,6026846,8970,1182,10605826,0.198,8507049,74365,1.547,18.39,0,1,0.00013,0,0,0,0,0,0,0,1
